FullStreetName,file,n_points,n_inlets,n_sags,n_served,n_unserved,length_m,kb
SB AIRWAY ON I580 EB,SB_AIRWAY_ON_I580_EB.html,148,3,0,0,0,146.8,46.0
SB AIRWAY ON I580 WB,SB_AIRWAY_ON_I580_WB.html,620,3,1,1,0,619.8,68.0
SCHOOL ST,SCHOOL_ST.html,342,3,0,0,0,337.3,47.4
CAMPO CT,CAMPO_CT.html,85,3,0,0,0,83.8,36.0
CEDARWOOD CM,CEDARWOOD_CM.html,26,3,0,0,0,25.4,32.8
CHALLENGER ST,CHALLENGER_ST.html,266,3,1,0,1,264.1,50.4
CARRIGAN CM,CARRIGAN_CM.html,444,3,0,0,0,519.7,52.1
CASCADE AV,CASCADE_AV.html,209,3,0,0,0,208.7,41.9
HOPPS LN,HOPPS_LN.html,47,3,0,0,0,45.7,34.0
JAFFA RD,JAFFA_RD.html,82,3,0,0,0,81.1,36.1
JEFFREY ST,JEFFREY_ST.html,148,3,1,1,0,146.4,45.3
IRIS WY,IRIS_WY.html,275,3,0,0,0,273.7,44.9
ISABEL OFF I580,ISABEL_OFF_I580.html,584,3,1,1,0,584.2,66.0
CHELSEA WY,CHELSEA_WY.html,368,3,0,0,0,366.9,48.7
CHERRY BLOSSOM WY,CHERRY_BLOSSOM_WY.html,136,3,1,1,0,135.0,44.6
ROXANNE ST,ROXANNE_ST.html,381,3,0,0,0,377.1,49.7
ROYAL RD,ROYAL_RD.html,58,3,0,0,0,57.0,34.7
RUNNING HILLS AV,RUNNING_HILLS_AV.html,352,3,0,0,0,351.4,47.9
RUTGERS CT,RUTGERS_CT.html,94,3,0,0,0,92.9,36.4
ROCK POINT PL,ROCK_POINT_PL.html,91,3,0,0,0,89.4,36.5
RODEO LN,RODEO_LN.html,334,3,0,0,0,334.2,53.3
ROMA ST,ROMA_ST.html,324,3,1,1,0,320.2,53.4
ROSEMARY CM,ROSEMARY_CM.html,44,3,0,0,0,42.8,34.1
CHARDONNAY CT,CHARDONNAY_CT.html,70,3,0,0,0,68.9,35.3
SHADOW MIST CT,SHADOW_MIST_CT.html,54,3,0,0,0,52.4,34.4
SHADY LN,SHADY_LN.html,89,3,0,0,0,88.1,36.2
SHEA CENTER DR,SHEA_CENTER_DR.html,274,3,0,0,0,272.4,51.4
WHITHORN CT,WHITHORN_CT.html,87,3,0,0,0,85.4,42.8
JONQUIL CM,JONQUIL_CM.html,24,3,0,0,0,23.2,32.8
JOY CT,JOY_CT.html,47,3,0,0,0,45.7,34.2
JUNCO AV,JUNCO_AV.html,145,3,0,0,0,143.3,39.1
JUNIPER ST,JUNIPER_ST.html,302,3,0,0,0,300.7,46.2
KARA PL,KARA_PL.html,132,3,0,0,0,130.5,38.4
HELSINKI WY,HELSINKI_WY.html,1214,3,0,0,0,1206.6,87.6
HERMES CM,HERMES_CM.html,196,3,1,0,1,192.5,54.3
CALIBRIA DR,CALIBRIA_DR.html,93,3,0,0,0,91.4,36.2
RIDGE CT,RIDGE_CT.html,157,3,0,0,0,156.4,39.2
RIDGESTONE CT,RIDGESTONE_CT.html,29,3,0,0,0,28.2,39.5
RIVERSTONE CM,RIVERSTONE_CM.html,30,3,0,0,0,29.4,33.3
CHIPPEWA WY,CHIPPEWA_WY.html,316,3,0,0,0,314.0,46.0
CHURCH ST,CHURCH_ST.html,228,3,0,0,0,225.7,42.8
CIELO CT,CIELO_CT.html,93,3,0,0,0,91.4,36.2
SHELBURNE RD,SHELBURNE_RD.html,128,3,0,0,0,126.3,38.0
KATHY WY,KATHY_WY.html,662,3,0,0,0,656.5,62.1
KATRINA ST,KATRINA_ST.html,506,3,0,0,0,500.1,55.7
KILLARNEY ST,KILLARNEY_ST.html,436,3,1,1,0,433.9,58.0
KIMBERLEY CM,KIMBERLEY_CM.html,701,3,2,1,1,693.5,76.6
ARCADIA CM,ARCADIA_CM.html,54,3,0,0,0,53.0,34.4
WENTE ST,WENTE_ST.html,778,3,1,1,0,775.8,73.3
RHEA WY,RHEA_WY.html,392,3,0,0,0,391.9,49.7
BUCKSKIN RD,BUCKSKIN_RD.html,469,3,0,0,0,463.9,52.9
BURR LN,BURR_LN.html,468,3,1,1,0,468.3,65.1
SKYLINKS WY,SKYLINKS_WY.html,171,3,0,0,0,168.9,40.1
SNOWBALL CT,SNOWBALL_CT.html,98,3,0,0,0,96.8,36.9
COTTONWOOD CT,COTTONWOOD_CT.html,165,3,0,0,0,164.4,39.9
COVELLITE LN,COVELLITE_LN.html,477,3,1,1,0,475.0,60.3
COVEY WY,COVEY_WY.html,394,3,0,0,0,393.6,49.8
PRINCETON WY,PRINCETON_WY.html,597,3,0,0,0,596.4,58.7
PROVENCE CT,PROVENCE_CT.html,47,3,0,0,0,45.9,34.1
WATERFLOWER DR,WATERFLOWER_DR.html,80,3,1,1,0,78.9,42.1
WAXLAX WY,WAXLAX_WY.html,255,3,0,0,0,254.0,44.2
ARBOR AV,ARBOR_AV.html,249,3,0,0,0,246.2,43.3
HAWK ST,HAWK_ST.html,162,3,1,1,0,159.6,46.2
QUAIL CT,QUAIL_CT.html,113,3,0,0,0,112.3,37.4
POLARIS WY,POLARIS_WY.html,411,3,2,2,0,409.5,57.7
PONTE CT,PONTE_CT.html,77,3,0,0,0,76.6,35.7
DANA CT,DANA_CT.html,119,3,0,0,0,118.2,37.7
DAPHNE DR,DAPHNE_DR.html,258,3,0,0,0,256.6,44.3
PINEWOOD CM,PINEWOOD_CM.html,41,3,0,0,0,40.4,33.8
PINTO ST,PINTO_ST.html,82,3,0,0,0,81.1,35.8
PLACER CT,PLACER_CT.html,33,3,0,0,0,32.0,33.4
SORRENTO PL,SORRENTO_PL.html,90,3,0,0,0,88.4,42.5
SPARROW CT,SPARROW_CT.html,51,3,0,0,0,50.0,34.4
HEIDI WY,HEIDI_WY.html,171,3,0,0,0,170.0,40.2
LADD AV,LADD_AV.html,273,3,0,0,0,272.3,45.0
LAKE CT,LAKE_CT.html,65,3,0,0,0,64.2,35.1
HALF DOME CT,HALF_DOME_CT.html,130,3,0,0,0,129.5,38.1
HAMPSTEAD CT,HAMPSTEAD_CT.html,93,3,0,0,0,92.3,36.8
BRIGHTON WY,BRIGHTON_WY.html,477,3,0,0,0,475.9,53.2
DEBRA ST,DEBRA_ST.html,535,3,0,0,0,534.0,56.5
DEERWOOD CT,DEERWOOD_CT.html,77,3,0,0,0,76.4,35.6
PEONY DR,PEONY_DR.html,351,3,0,0,0,349.3,48.5
PEPPERWOOD CM,PEPPERWOOD_CM.html,53,3,0,0,0,52.1,34.5
DESIREE AV,DESIREE_AV.html,440,3,0,0,0,439.4,52.3
DETERT CT,DETERT_CT.html,71,3,0,0,0,70.1,35.6
DEVON PL,DEVON_PL.html,249,3,1,0,1,248.4,49.5
PARKSIDE CT,PARKSIDE_CT.html,195,3,0,0,0,193.3,41.6
PARTRIDGE CM,PARTRIDGE_CM.html,117,3,1,1,0,115.3,50.2
SPRINGTOWN OFF I580 WB,SPRINGTOWN_OFF_I580_WB.html,274,3,0,0,0,272.6,45.6
ST MARGARETS CT,ST_MARGARETS_CT.html,77,3,1,1,0,76.4,42.2
ARROYO VISTA,ARROYO_VISTA.html,484,3,2,1,1,481.9,73.0
HATTAN DR,HATTAN_DR.html,184,3,0,0,0,182.9,40.8
LANTANA AV,LANTANA_AV.html,214,3,1,1,0,213.4,48.6
LARKSPUR DR,LARKSPUR_DR.html,482,3,0,0,0,478.9,60.7
LAS POSITAS CT,LAS_POSITAS_CT.html,341,3,0,0,0,339.2,54.6
LATOUR AV,LATOUR_AV.html,304,3,0,0,0,303.6,46.1
LAURELWOOD CT,LAURELWOOD_CT.html,92,3,0,0,0,91.3,36.8
STANFORD WY,STANFORD_WY.html,1010,3,0,0,0,1006.0,76.7
STARFLOWER WY,STARFLOWER_WY.html,276,3,0,0,0,274.7,44.9
DUBLIN AV,DUBLIN_AV.html,368,3,0,0,0,366.7,48.9
ORCHID CT,ORCHID_CT.html,85,3,0,0,0,84.2,36.1
ORIOLE AV,ORIOLE_AV.html,525,3,2,1,1,521.1,67.9
ORVIETO CT,ORVIETO_CT.html,65,3,0,0,0,63.4,35.3
STERLING PL,STERLING_PL.html,140,3,0,0,0,138.8,45.1
VINTAGE CT,VINTAGE_CT.html,53,3,0,0,0,51.7,34.4
VIOLET AV,VIOLET_AV.html,60,3,0,0,0,59.3,34.9
STETSON CT,STETSON_CT.html,107,3,0,0,0,105.2,37.1
STETSON WY,STETSON_WY.html,178,3,0,0,0,177.4,40.1
BRENNAN WY,BRENNAN_WY.html,172,3,0,0,0,169.2,39.9
ECHO SUMMIT ST,ECHO_SUMMIT_ST.html,265,3,2,2,0,262.5,50.4
OAKMONT CI,OAKMONT_CI.html,710,3,0,0,0,710.2,63.1
OLD OAK PL,OLD_OAK_PL.html,58,3,0,0,0,56.8,41.1
ONYX RD,ONYX_RD.html,386,3,1,1,0,381.4,55.8
DOVE CT,DOVE_CT.html,106,3,0,0,0,105.1,36.9
DRY CREEK CT,DRY_CREEK_CT.html,83,3,0,0,0,82.0,36.0
STONY CREEK CT,STONY_CREEK_CT.html,47,3,0,0,0,46.4,34.0
BEVERLY ST,BEVERLY_ST.html,226,3,0,0,0,224.7,42.7
BLACKSTONE CM,BLACKSTONE_CM.html,27,3,0,0,0,26.4,32.9
NORFOLK RD,NORFOLK_RD.html,325,3,1,1,0,323.6,52.9
LENORE AV,LENORE_AV.html,581,3,1,1,0,580.5,65.1
LEXINGTON PL,LEXINGTON_PL.html,31,3,0,0,0,29.9,33.3
LILLIAN ST,LILLIAN_ST.html,342,3,0,0,0,337.7,47.7
VIA DEL SOL,VIA_DEL_SOL.html,448,3,0,0,0,445.3,52.8
NIELSEN LN,NIELSEN_LN.html,346,3,1,1,0,341.3,53.7
EDYTHE ST,EDYTHE_ST.html,356,3,0,0,0,355.1,48.6
EL RIO CT,EL_RIO_CT.html,67,3,0,0,0,66.2,41.5
BLUEBONNET CM,BLUEBONNET_CM.html,29,3,0,0,0,28.5,33.0
SWAN PL,SWAN_PL.html,36,3,0,0,0,35.0,33.6
EMBASSY CI,EMBASSY_CI.html,553,3,1,1,0,727.0,63.2
EMILY CT,EMILY_CT.html,71,3,1,1,0,70.4,41.8
EMILY WY,EMILY_WY.html,225,3,0,0,0,222.5,42.7
BERNAL AV,BERNAL_AV.html,301,3,0,0,0,298.5,51.7
BECK LN,BECK_LN.html,47,3,0,0,0,45.7,33.9
ERICA CT,ERICA_CT.html,53,3,0,0,0,51.8,34.5
EUCALYPTUS CT,EUCALYPTUS_CT.html,61,3,0,0,0,60.1,35.0
EVERGLADES LN,EVERGLADES_LN.html,606,3,0,0,0,601.5,60.3
MORAGA DR,MORAGA_DR.html,430,3,0,0,0,428.4,52.3
LYNDA CT,LYNDA_CT.html,30,3,0,0,0,29.1,33.2
GLASGOW CI,GLASGOW_CI.html,311,3,0,0,0,309.9,47.5
GLORIA WY,GLORIA_WY.html,156,3,1,1,0,154.3,45.9
GOLDFINCH WY,GOLDFINCH_WY.html,170,3,0,0,0,168.4,40.2
GOLDSTONE CM,GOLDSTONE_CM.html,32,3,0,0,0,30.5,33.3
HAGGIN OAKS AV,HAGGIN_OAKS_AV.html,479,3,0,0,0,476.8,53.9
MORNING GLORY RD,MORNING_GLORY_RD.html,180,3,0,0,0,177.9,40.7
MT WHITNEY ST,MT_WHITNEY_ST.html,79,3,0,0,0,78.3,35.7
MULBERRY CM,MULBERRY_CM.html,48,3,0,0,0,46.4,34.2
FENTON ST,FENTON_ST.html,307,3,0,0,0,305.9,45.5
FINDLAY WY,FINDLAY_WY.html,516,3,0,0,0,515.3,55.0
MONTAROSSA CT,MONTAROSSA_CT.html,69,3,1,1,0,67.7,41.8
MONTECITO CI,MONTECITO_CI.html,881,3,1,0,1,874.8,78.8
BELGIUM ST,BELGIUM_ST.html,80,3,0,0,0,79.2,35.6
THRASHER AV,THRASHER_AV.html,385,3,1,1,0,383.0,56.4
VERBENA CM,VERBENA_CM.html,48,3,0,0,0,47.0,34.2
LOCUST ST,LOCUST_ST.html,884,3,0,0,0,877.2,72.2
LOUIS CT,LOUIS_CT.html,90,3,0,0,0,88.5,36.4
LUCERNE ST,LUCERNE_ST.html,343,3,0,0,0,341.2,48.2
LUCILLE ST,LUCILLE_ST.html,453,3,2,1,1,450.3,64.9
MILTON WY,MILTON_WY.html,376,3,1,1,0,374.0,56.6
TILDEN WY,TILDEN_WY.html,92,3,0,0,0,89.8,36.8
TREEFLOWER DR,TREEFLOWER_DR.html,293,3,1,1,0,292.5,51.9
TRIAD PL,TRIAD_PL.html,152,3,0,0,0,150.5,46.1
FRANCINE WY,FRANCINE_WY.html,73,3,0,0,0,71.9,35.6
MARTINGALE LN,MARTINGALE_LN.html,86,3,0,0,0,84.5,36.3
MCLEAN PL,MCLEAN_PL.html,54,3,0,0,0,52.5,41.0
MEADOWOOD CM,MEADOWOOD_CM.html,267,3,0,0,0,265.6,44.8
TRIXIE DR,TRIXIE_DR.html,127,3,1,1,0,125.8,44.5
TURINO ST,TURINO_ST.html,322,3,1,1,0,318.9,53.5
MARTHA ST,MARTHA_ST.html,163,3,0,0,0,161.5,40.0
MARTIN AV,MARTIN_AV.html,410,3,0,0,0,406.6,51.0
FOSCALINA CT,FOSCALINA_CT.html,47,3,0,0,0,45.7,34.1
FOUR HILL CM,FOUR_HILL_CM.html,23,3,0,0,0,22.1,32.8
FRENCH OAK PL,FRENCH_OAK_PL.html,63,3,0,0,0,61.9,35.1
GENEVA ST,GENEVA_ST.html,385,3,0,0,0,382.5,49.5
GERALDINE ST,GERALDINE_ST.html,560,3,0,0,0,555.8,58.3
GILBERT LN,GILBERT_LN.html,151,3,0,0,0,150.5,45.7
GILLETTE PL,GILLETTE_PL.html,53,3,0,0,0,52.3,34.5
GINGER CM,GINGER_CM.html,29,3,0,0,0,27.7,33.1
MARCELLA CT,MARCELLA_CT.html,70,3,1,1,0,68.8,41.5
AVONDALE LN,AVONDALE_LN.html,137,3,0,0,0,135.7,38.7
AZORES CT,AZORES_CT.html,78,3,0,0,0,76.8,35.7
TURQUOISE WY,TURQUOISE_WY.html,431,3,0,0,0,428.8,51.2
ALYSIA CT,ALYSIA_CT.html,134,3,0,0,0,133.1,38.4
WINGED FOOT CT,WINGED_FOOT_CT.html,125,3,0,0,0,124.1,37.8
WORTHING CM,WORTHING_CM.html,280,3,0,0,0,276.8,45.4
XAVIER WY,XAVIER_WY.html,346,3,1,1,0,341.5,53.8
CAPRICONUS AV,CAPRICONUS_AV.html,360,3,1,1,0,356.9,54.7
HUMMINGBIRD LN,HUMMINGBIRD_LN.html,477,3,0,0,0,476.0,53.3
WILMA CT,WILMA_CT.html,53,3,0,0,0,52.3,34.4
WILTON RD,WILTON_RD.html,289,3,1,1,0,286.6,51.6
WINDFLOWER DR,WINDFLOWER_DR.html,337,3,0,0,0,335.2,47.7
WILLOWVIEW CT,WILLOWVIEW_CT.html,49,2,1,1,0,48.6,40.6
SARAH CT,SARAH_CT.html,62,2,0,0,0,60.9,34.8
SAPPHIRE DR,SAPPHIRE_DR.html,289,2,1,1,0,288.2,51.8
SANDSTONE CM,SANDSTONE_CM.html,27,2,0,0,0,26.2,33.0
CARMEL AV,CARMEL_AV.html,222,2,1,1,0,220.8,48.4
CARLTON PL,CARLTON_PL.html,153,2,0,0,0,152.4,38.8
WINDSOR PL,WINDSOR_PL.html,50,2,0,0,0,48.8,34.2
ACORN PL,ACORN_PL.html,124,2,0,0,0,123.4,37.2
AGNES ST,AGNES_ST.html,65,2,0,0,0,63.4,34.7
ALTAMAR CT,ALTAMAR_CT.html,39,2,0,0,0,38.1,33.3
URSLA ST,URSLA_ST.html,93,2,0,0,0,91.5,36.3
UPLAND CT,UPLAND_CT.html,88,2,0,0,0,87.2,36.2
AZURITE WY,AZURITE_WY.html,113,2,0,0,0,112.6,37.2
MARBURY RD,MARBURY_RD.html,230,2,0,0,0,227.7,42.8
MAHOGANY CT,MAHOGANY_CT.html,31,2,0,0,0,30.2,33.2
CELESTE AV,CELESTE_AV.html,305,2,0,0,0,303.4,46.1
SEA WOLF WY,SEA_WOLF_WY.html,178,2,0,0,0,176.8,40.4
SCHERMAN WY,SCHERMAN_WY.html,199,2,0,0,0,197.3,41.3
CAPRI CT,CAPRI_CT.html,149,2,0,0,0,147.8,38.9
CANDY CT,CANDY_CT.html,152,2,1,1,0,150.8,45.4
SAN MIGUEL DR,SAN_MIGUEL_DR.html,80,2,0,0,0,79.2,35.9
SAN MARCO ST,SAN_MARCO_ST.html,89,2,0,0,0,87.6,36.0
GAMAY CM,GAMAY_CM.html,176,2,1,0,1,175.0,46.5
GERRILYN WY,GERRILYN_WY.html,143,2,0,0,0,142.3,38.9
MACKENZIE CT,MACKENZIE_CT.html,62,2,0,0,0,61.0,35.0
AURA CM,AURA_CM.html,338,2,2,0,2,335.3,54.1
AUDRY ST,AUDRY_ST.html,64,2,0,0,0,63.4,34.8
AUBURN ST,AUBURN_ST.html,173,2,1,1,0,171.3,46.1
GALE ST,GALE_ST.html,180,2,0,0,0,179.0,40.6
JENNIFER DR,JENNIFER_DR.html,237,2,0,0,0,235.8,43.2
JASPER CT,JASPER_CT.html,25,2,0,0,0,24.3,32.8
JANET CT,JANET_CT.html,111,2,0,0,0,109.9,37.3
JAMI CT,JAMI_CT.html,68,2,0,0,0,67.0,35.1
HOLLY CM,HOLLY_CM.html,64,2,0,0,0,63.0,34.9
CHARMONT CT,CHARMONT_CT.html,28,2,0,0,0,27.0,32.8
S G ST,S_G_ST.html,401,2,0,0,0,419.8,50.7
CHAPARRAL WY,CHAPARRAL_WY.html,95,2,0,0,0,93.4,36.3
MARIPOSA AV,MARIPOSA_AV.html,220,2,0,0,0,217.4,42.4
MARCIA CT,MARCIA_CT.html,115,2,0,0,0,114.2,37.6
MEDINA ST,MEDINA_ST.html,189,2,1,1,0,187.9,47.3
MEADOWLARK ST,MEADOWLARK_ST.html,467,2,0,0,0,463.5,52.7
MCLEOD ST,MCLEOD_ST.html,827,2,0,0,0,849.0,70.0
MCGLINCHEY DR,MCGLINCHEY_DR.html,130,2,0,0,0,128.3,38.3
MARYLIN AV,MARYLIN_AV.html,375,2,0,0,0,371.5,49.0
MARY LOU WY,MARY_LOU_WY.html,94,2,0,0,0,93.5,36.6
FREEDA CT,FREEDA_CT.html,150,2,0,0,0,149.6,45.5
ROSELLI DR,ROSELLI_DR.html,388,2,1,0,1,383.0,56.2
ROLLINGSTONE CM,ROLLINGSTONE_CM.html,27,2,0,0,0,26.2,32.9
ROCKROSE ST,ROCKROSE_ST.html,216,2,1,1,0,214.6,48.7
ROBIN CM,ROBIN_CM.html,59,2,0,0,0,58.0,34.7
CITRINE PL,CITRINE_PL.html,74,2,0,0,0,73.0,35.4
CINNABAR DR,CINNABAR_DR.html,291,2,1,1,0,289.3,51.8
RYAN ST,RYAN_ST.html,148,2,1,1,0,146.4,45.2
IRONSTONE CM,IRONSTONE_CM.html,31,2,0,0,0,29.6,33.2
JOAN WY,JOAN_WY.html,80,2,0,0,0,79.2,35.8
FONTANA ST,FONTANA_ST.html,79,2,0,0,0,78.2,42.3
FLUORITE CT,FLUORITE_CT.html,75,2,1,1,0,73.2,41.7
MESQUITE WY,MESQUITE_WY.html,346,2,0,0,0,344.4,48.1
MERRITT LN,MERRITT_LN.html,120,2,0,0,0,118.3,38.0
MERCURY RD,MERCURY_RD.html,411,2,0,0,0,406.6,51.5
MEDOLLA CT,MEDOLLA_CT.html,62,2,0,0,0,60.9,34.9
COLEEN ST,COLEEN_ST.html,406,2,0,0,0,401.7,50.5
CALIMANCO CM,CALIMANCO_CM.html,31,2,0,0,0,30.3,33.0
CALIFORNIA WY,CALIFORNIA_WY.html,597,2,0,0,0,596.2,58.3
JUSTINE CT,JUSTINE_CT.html,168,2,0,0,0,165.4,40.2
JULIE ST,JULIE_ST.html,234,2,0,0,0,233.4,42.7
AMY CT,AMY_CT.html,34,2,0,0,0,32.7,33.2
AMES ST,AMES_ST.html,431,2,1,1,0,427.3,57.9
WHITE OAK PL,WHITE_OAK_PL.html,48,2,0,0,0,47.2,34.2
SHAMROCK WY,SHAMROCK_WY.html,109,2,1,1,0,108.0,43.5
TINA WY,TINA_WY.html,184,2,0,0,0,183.3,40.7
BATAVIA AV,BATAVIA_AV.html,316,2,0,0,0,314.5,46.3
MIRAMONTE LN,MIRAMONTE_LN.html,139,2,0,0,0,138.2,38.7
FORESTER CT,FORESTER_CT.html,64,2,0,0,0,62.8,35.1
FORDHAM WY,FORDHAM_WY.html,336,2,0,0,0,333.5,47.5
BANNOCK ST,BANNOCK_ST.html,279,2,0,0,0,277.0,44.4
SHERRY CT,SHERRY_CT.html,116,2,1,1,0,114.6,43.8
WESTMINSTER WY,WESTMINSTER_WY.html,239,2,0,0,0,238.1,43.4
KENNEDY ST,KENNEDY_ST.html,700,2,1,0,1,696.1,70.3
HILLFLOWER DR,HILLFLOWER_DR.html,279,2,0,0,0,278.2,44.9
HILLCREST CT,HILLCREST_CT.html,311,2,1,1,0,309.7,52.4
CHIANTI CT,CHIANTI_CT.html,37,2,0,0,0,36.2,33.3
RIDGECREST WY,RIDGECREST_WY.html,155,2,0,0,0,153.9,39.4
LOGAN ST,LOGAN_ST.html,121,2,0,0,0,118.6,37.7
VENTURA AV,VENTURA_AV.html,605,2,0,0,0,602.7,59.7
AVENIDA DE LAS PALMAS,AVENIDA_DE_LAS_PALMAS.html,255,2,0,0,0,252.8,43.9
TERRY LN,TERRY_LN.html,82,2,0,0,0,81.1,36.0
COMANCHE CT,COMANCHE_CT.html,68,2,0,0,0,67.3,34.9
COLUSA WY,COLUSA_WY.html,688,2,0,0,0,683.7,62.5
CODIROLI WY,CODIROLI_WY.html,133,2,0,0,0,132.6,38.1
COBBLESTONE CM,COBBLESTONE_CM.html,27,2,0,0,0,26.3,32.8
CLIMBING ROSE CM,CLIMBING_ROSE_CM.html,30,2,0,0,0,29.2,32.9
REGULUS RD,REGULUS_RD.html,388,2,0,0,0,387.0,50.1
BUCKEYE DR,BUCKEYE_DR.html,445,2,0,0,0,441.7,52.3
SHOREHAVEN CI,SHOREHAVEN_CI.html,461,2,0,0,0,460.2,52.8
SHOEMAKER CT,SHOEMAKER_CT.html,40,2,0,0,0,39.2,33.7
SOAPSTONE CM,SOAPSTONE_CM.html,25,2,0,0,0,23.9,32.8
SNIDER CT,SNIDER_CT.html,48,2,0,0,0,47.0,34.2
SIRAH CT,SIRAH_CT.html,38,2,0,0,0,36.9,33.6
SILVERSTONE CM,SILVERSTONE_CM.html,30,2,0,0,0,28.7,33.1
BURGESS ST,BURGESS_ST.html,232,2,1,1,0,228.3,48.3
BUENA VISTA AV,BUENA_VISTA_AV.html,24,2,0,0,0,22.8,32.5
REDONDO WY,REDONDO_WY.html,293,2,0,0,0,291.9,45.6
RAVENNA ST,RAVENNA_ST.html,96,2,0,0,0,95.6,36.6
QUARTZ CI,QUARTZ_CI.html,505,2,2,1,1,502.2,67.6
CORDOBA ST,CORDOBA_ST.html,239,2,0,0,0,235.9,42.9
CONTRACTORS ST,CONTRACTORS_ST.html,222,2,0,0,0,220.9,42.4
MOLLIE CI,MOLLIE_CI.html,319,2,1,1,0,317.1,53.0
MOHAWK DR,MOHAWK_DR.html,288,2,0,0,0,287.7,44.8
FIRENZA CT,FIRENZA_CT.html,79,2,0,0,0,77.8,35.6
FELDSPAR CT,FELDSPAR_CT.html,73,2,0,0,0,71.6,35.4
FAWN DR,FAWN_DR.html,118,2,0,0,0,116.9,37.6
FARMINGTON WY,FARMINGTON_WY.html,263,2,0,0,0,261.7,44.8
FAIRWAY CT,FAIRWAY_CT.html,86,2,0,0,0,85.3,36.1
MOSSWOOD CT,MOSSWOOD_CT.html,83,2,0,0,0,81.3,36.1
MOSELLE CT,MOSELLE_CT.html,83,2,0,0,0,81.6,35.8
GOLDEN CREST CM,GOLDEN_CREST_CM.html,31,2,0,0,0,30.1,33.2
GLADIOLUS CT,GLADIOLUS_CT.html,107,2,1,1,0,105.9,43.5
ELIOT DR,ELIOT_DR.html,82,2,0,0,0,80.8,35.9
EVE LN,EVE_LN.html,263,2,0,0,0,261.8,44.4
EVANS PL,EVANS_PL.html,60,2,0,0,0,59.4,34.6
BEECH CM,BEECH_CM.html,30,2,0,0,0,28.5,32.9
HIBISCUS WY,HIBISCUS_WY.html,426,2,0,0,0,424.4,51.8
HAYES CT,HAYES_CT.html,103,2,0,0,0,101.9,36.9
HAWTHORNE PL,HAWTHORNE_PL.html,150,2,0,0,0,149.1,39.2
KNOLL CT,KNOLL_CT.html,72,2,0,0,0,70.9,35.6
KIRSTEN WY,KIRSTEN_WY.html,89,2,0,0,0,88.4,36.1
KINO WY,KINO_WY.html,80,2,0,0,0,79.3,35.7
KINGLET RD,KINGLET_RD.html,343,2,1,1,0,340.9,54.0
ARABIAN RD,ARABIAN_RD.html,300,2,1,1,0,297.6,51.7
ANNA MARIA ST,ANNA_MARIA_ST.html,1019,2,1,1,0,1011.2,82.8
WAYLAND LP,WAYLAND_LP.html,444,2,1,1,0,441.0,59.2
PRIMROSE LN,PRIMROSE_LN.html,187,2,0,0,0,186.5,40.9
POTENZA CT,POTENZA_CT.html,69,2,0,0,0,68.0,35.4
TENNYSON DR,TENNYSON_DR.html,101,2,0,0,0,99.7,37.1
TEAGARDEN CM,TEAGARDEN_CM.html,49,2,0,0,0,48.0,34.2
TAPESTRY CT,TAPESTRY_CT.html,27,2,0,0,0,25.9,33.0
TANAGER WY,TANAGER_WY.html,82,2,0,0,0,81.1,35.6
TAMMY CT,TAMMY_CT.html,38,2,0,0,0,37.2,33.6
BERWIND AV,BERWIND_AV.html,152,2,0,0,0,150.8,39.0
N OAK ST,N_OAK_ST.html,113,2,0,0,0,111.7,37.4
EMERALD ST,EMERALD_ST.html,380,2,1,1,0,379.0,56.1
ELSA CM,ELSA_CM.html,57,2,0,0,0,56.4,34.6
BERKSHIRE AV,BERKSHIRE_AV.html,72,2,0,0,0,71.5,35.0
DARTMOUTH WY,DARTMOUTH_WY.html,526,2,0,0,0,524.8,55.2
CORNFLOWER CM,CORNFLOWER_CM.html,28,2,0,0,0,27.0,32.8
POMONA CT,POMONA_CT.html,45,2,0,0,0,43.9,34.0
CROSS CREEK PL,CROSS_CREEK_PL.html,93,2,0,0,0,91.9,36.4
PYRITE CT,PYRITE_CT.html,51,2,0,0,0,50.0,34.4
SWALLOW DR,SWALLOW_DR.html,412,2,1,1,0,408.1,57.3
BLUFFS CT,BLUFFS_CT.html,125,2,0,0,0,123.7,37.8
EL RANCHO DR,EL_RANCHO_DR.html,497,2,0,0,0,496.3,55.0
EL DORADO CT,EL_DORADO_CT.html,56,2,0,0,0,54.5,34.5
EL CAPITAN CT,EL_CAPITAN_CT.html,120,2,1,1,0,119.2,43.9
EDNA CT,EDNA_CT.html,43,2,0,0,0,42.1,33.6
NIAGARA DR,NIAGARA_DR.html,241,2,0,0,0,236.4,42.8
NEWHALL WY,NEWHALL_WY.html,266,2,1,1,0,263.2,50.4
VILLAGE CT,VILLAGE_CT.html,76,2,1,1,0,75.5,42.0
VICTORIA CT,VICTORIA_CT.html,56,2,0,0,0,54.8,34.8
VIANO WY,VIANO_WY.html,88,2,0,0,0,87.1,36.2
HAMPTON PL,HAMPTON_PL.html,39,2,0,0,0,38.1,34.0
KYLE CM,KYLE_CM.html,105,2,1,1,0,104.4,43.5
SPLITRAIL CT,SPLITRAIL_CT.html,87,2,1,1,0,85.8,42.5
SOUTHFRONT ON I580 EB,SOUTHFRONT_ON_I580_EB.html,399,2,1,1,0,398.2,57.9
SOUTHFRONT OFF I580 EB,SOUTHFRONT_OFF_I580_EB.html,395,2,0,0,0,394.8,56.8
